Gaia source IDs,True distance [pc],True RA [deg],True Dec [deg],Stellar mass [M_\odot],G-band mag,True planet mass [M_J],True period [days],True inclination [deg],True eccentricity,True omega [deg],True Omega [deg],True T_peri [days],Best-fit planet mass [M_J],Best-fit period [days],Best-fit inclination [deg],Best-fit eccentricity,Best-fit omega [deg],Best-fit Omega [deg],Best-fit T_peri [days],MCMC distance 16th [pc],MCMC distance 50th [pc],MCMC distance 84th [pc],MCMC period 16th [days],MCMC period 50th [days],MCMC period 84th [days],MCMC planet mass 16th [M_J],MCMC planet mass 50th [M_J],MCMC planet mass 84th [M_J],MCMC eccentricity 16th,MCMC eccentricity 50th,MCMC eccentricity 84th,MCMC inclination 16th [deg],MCMC inclination 50th [deg],MCMC inclination 84th [deg]
2395753240408007424,119.399,353.7958059111639,-15.39562526511411,0.827,10.822,4.705,1074.116,118.366,0.153,291.697,206.429,51.474,6.371,980.738,118.346,0.117,80.273,33.954,941.632,119.043,119.262,119.478,952.015,990.138,1038.837,5.327,6.498,8.222,0.074,0.258,0.602,105.696,116.106,127.578
6736067076020049024,21.927,281.3498780116075,-32.893843807134004,0.495,10.443,6.948,1326.991,93.27,0.063,217.37,60.927,182.952,7.038,1314.287,92.751,0.062,282.318,61.19,417.475,21.912,21.919,21.926,1307.122,1314.369,1321.909,6.932,7.05,7.164,0.036,0.062,0.088,92.059,92.745,93.415
6735778797811113344,84.194,282.54706561664614,-33.526358103556866,0.449,13.767,10.124,1350.832,28.995,0.322,278.677,328.589,121.491,10.696,1395.6,39.616,0.338,115.872,132.774,123.679,84.119,84.221,84.324,1362.64,1402.119,1449.885,10.314,10.757,11.212,0.281,0.341,0.399,35.91,40.682,44.864
5441318467015372416,247.224,158.08679372915734,-38.3491105347664,0.758,13.497,11.598,1828.931,155.558,0.019,271.01,284.35,84.49,12.627,1655.028,153.654,0.21,318.703,176.385,818.17,246.564,247.224,247.839,1716.096,1938.896,2306.86,12.796,14.203,18.151,0.021,0.077,0.183,128.89,141.269,152.271
1790571590824812288,142.725,319.96962125072235,20.913311318137353,0.892,10.836,6.028,1078.432,74.878,0.345,337.714,43.17,18.879,4.538,1135.428,44.375,0.421,15.297,39.28,194.456,142.379,142.637,142.896,1085.293,1167.601,1336.892,4.424,6.425,21.374,0.215,0.782,0.989,46.284,63.029,79.156
4832006403216004608,28.135,61.543044041248365,-46.411445485212774,0.144,15.123,1.64,1311.051,44.859,0.718,79.89,140.222,174.113,2.211,1302.395,54.272,0.834,84.804,136.822,175.554,28.125,28.139,28.153,1274.885,1312.808,1362.404,2.019,2.928,5.857,0.804,0.909,0.978,51.335,62.782,75.727
4969822935852999936,148.321,33.51207759270367,-34.73383606835524,0.922,11.371,5.721,1350.102,172.266,0.005,70.038,255.934,58.759,6.998,1369.087,143.451,0.488,9.777,120.765,350.035,148.078,148.328,148.573,1335.933,1373.413,1420.218,6.723,7.407,8.293,0.342,0.488,0.663,129.588,138.104,148.776
423905304959887360,117.383,15.623378991487643,56.09314210989826,0.379,15.138,3.125,1046.264,22.638,0.013,77.836,243.937,125.157,3.355,1051.496,18.801,0.072,341.257,137.949,579.927,116.605,116.849,117.107,1025.1,1055.249,1089.766,3.285,3.777,4.394,0.053,0.181,0.421,29.111,40.654,50.681
1417086152503799168,89.366,268.20120283374166,53.629520892111145,0.643,12.698,6.118,238.403,74.029,0.555,160.985,104.328,23.898,11.935,244.102,83.219,0.887,154.749,104.924,33.015,89.275,89.339,89.405,241.733,243.692,245.197,12.407,54.835,603.07,0.931,0.999,1.0,79.316,88.904,91.696
6561228990422920832,95.627,331.44422715496825,-47.39662761007128,0.625,13.029,8.655,428.504,147.925,0.049,303.495,335.545,43.161,7.869,426.076,162.527,0.272,19.54,5.714,103.638,95.491,95.61,95.729,422.117,426.185,429.956,7.814,8.489,9.231,0.114,0.249,0.397,136.983,145.962,155.592
564324102437969792,58.853,7.981057210752826,78.41398612665037,0.725,10.653,3.697,526.715,98.492,0.496,167.053,336.244,64.813,3.846,508.708,123.541,0.806,348.44,165.169,60.35,58.836,58.864,58.895,500.494,508.996,517.013,3.872,13.583,81.313,0.784,0.994,1.0,92.494,102.634,122.248
2045079189445652096,385.398,292.2869850489815,31.73646479445667,0.83,13.433,11.049,1188.346,28.077,0.176,302.873,74.3,135.234,12.368,1213.063,48.621,0.118,338.904,162.128,515.722,383.104,384.414,385.855,1162.125,1217.742,1281.403,11.198,13.049,15.294,0.068,0.227,0.521,39.383,51.744,60.89
3366261848960158976,66.35,102.84176834108342,20.902302209461833,0.919,9.377,7.322,1576.867,64.739,0.028,318.068,192.261,199.839,6.763,1471.814,63.562,0.112,255.204,19.779,684.337,66.272,66.334,66.396,1443.545,1497.746,1569.927,6.506,6.858,7.22,0.026,0.084,0.171,59.823,64.337,68.531
2697283721526790272,119.947,330.13954855356985,5.971142500025631,1.264,8.328,6.123,1173.259,157.835,0.084,114.108,39.127,11.881,8.755,1230.273,128.057,0.664,265.118,84.603,384.345,119.311,119.581,119.848,1151.796,1217.55,1287.906,7.765,14.671,49.503,0.549,0.926,0.995,98.915,114.594,132.621
2980492387558410112,13.24,71.90182063625531,-16.933703052251126,0.966,5.318,4.82,2519.522,80.886,0.145,236.332,276.653,107.714,4.615,1956.855,83.608,0.191,271.735,98.302,1316.643,13.24,13.245,13.249,1963.569,2125.438,2476.54,4.472,4.589,4.709,0.111,0.193,0.291,81.547,83.562,85.578
2529989488308271872,207.658,9.244212554247854,-3.0366804226649515,0.719,13.436,11.704,509.031,19.132,0.446,228.976,238.66,52.368,11.871,512.079,45.015,0.147,66.707,112.733,172.34,207.352,207.907,208.489,501.322,513.228,523.202,11.51,13.993,25.069,0.105,0.379,0.908,39.985,54.35,68.092
57625030751944448,137.952,53.11347922562184,19.58634158444518,0.422,15.089,11.163,1538.879,60.634,0.046,8.793,272.24,10.466,10.836,1551.617,64.78,0.214,304.506,97.76,551.749,137.866,138.378,138.878,1510.067,1564.407,1631.975,9.756,10.812,11.907,0.053,0.163,0.323,58.213,64.127,69.264
695170522295168,180.107,46.38030666104432,2.114453435851673,1.264,9.633,11.271,1172.157,18.504,0.094,234.563,27.406,42.198,10.574,1151.55,45.042,0.141,314.607,172.738,745.136,179.692,180.118,180.55,1114.392,1157.164,1208.014,10.055,11.203,12.616,0.063,0.191,0.387,34.718,48.001,58.959
4592219890913084288,49.984,277.2401514914227,32.92143124263625,0.466,12.488,5.357,1012.408,123.251,0.2,121.458,148.13,47.175,5.186,1038.145,121.826,0.302,167.103,146.853,187.384,49.972,49.998,50.025,1027.761,1037.859,1048.58,4.972,5.194,5.423,0.224,0.292,0.363,118.732,121.524,124.617
6903212016154568704,93.308,310.5378528656872,-9.756497610051172,0.437,14.098,5.164,1383.732,148.056,0.415,80.953,101.639,127.981,6.367,1375.019,138.221,0.548,90.285,84.605,216.806,93.12,93.286,93.457,1341.162,1409.148,1506.252,5.785,7.065,10.378,0.441,0.633,0.852,122.88,132.449,141.55
274220781247582464,186.536,72.5036957539932,55.27052183873609,0.729,13.123,7.237,1490.798,23.82,0.918,3.922,227.641,74.161,7.333,1317.457,53.129,0.516,196.725,50.507,120.909,185.827,186.265,186.733,1267.288,1372.65,1614.719,7.0,11.113,44.54,0.46,0.925,0.996,46.321,62.176,80.076
5525007893344621312,68.61,130.99758684162111,-41.9924265497509,0.999,9.263,9.996,1483.931,140.862,0.052,225.331,270.881,109.506,9.933,1510.496,146.153,0.109,26.223,79.455,88.936,68.56,68.605,68.651,1475.496,1507.45,1545.419,9.634,9.982,10.339,0.051,0.104,0.161,140.568,145.387,151.139
2760130534861572992,63.223,355.5207755940094,10.458910424587902,0.994,8.911,9.799,868.204,92.881,0.027,286.948,188.832,125.95,8.952,860.097,89.089,0.216,26.224,9.018,795.547,63.114,63.17,63.228,851.107,863.085,875.746,8.496,9.095,9.723,0.069,0.175,0.293,84.58,88.593,92.685
1270672916407712256,239.061,231.4925584853665,26.64454336252728,1.057,11.262,7.676,1003.197,143.837,0.081,91.09,207.112,127.398,7.939,996.361,162.208,0.217,32.542,56.369,381.791,238.305,239.019,239.726,942.435,990.24,1041.07,8.662,12.715,51.192,0.169,0.7,0.985,102.132,123.529,141.977
4353981525334464768,205.665,248.7976572058273,-5.096589806435998,0.866,12.009,8.283,1149.54,16.262,0.143,35.351,155.544,67.291,8.106,1191.197,39.311,0.317,248.401,144.684,755.122,204.356,204.973,205.615,1140.162,1198.895,1276.805,7.749,9.521,14.877,0.142,0.407,0.852,37.179,50.927,64.228
1744541876558228352,222.565,316.1407439247483,10.384924476722167,0.759,13.092,10.345,792.31,48.007,0.321,342.892,287.06,50.228,9.012,825.785,52.882,0.129,181.367,126.47,118.78,223.714,224.353,225.019,795.131,831.128,875.341,8.741,11.871,35.169,0.136,0.542,0.972,46.831,61.993,76.715
3923738296056610688,94.869,178.82982432416455,15.407178926656979,0.742,11.55,12.402,614.55,136.188,0.2,18.697,347.405,26.065,12.684,607.35,128.026,0.074,78.45,9.133,91.21,94.855,94.98,95.106,599.853,607.264,614.876,12.169,12.914,13.696,0.032,0.107,0.226,121.018,127.2,133.991
420902951021977088,272.825,0.3465327519190573,55.93420014883678,0.734,13.903,12.241,1339.822,151.06,0.204,20.06,190.49,63.222,11.713,1405.571,143.407,0.186,260.881,83.136,28.865,271.916,272.661,273.409,1351.672,1425.964,1567.133,11.135,12.349,14.081,0.088,0.247,0.467,127.217,137.159,148.372
1540411224966506496,180.656,191.4146842656271,43.26486341569566,0.867,11.732,3.9,1398.1,48.526,0.189,92.676,122.766,7.6,6.479,1317.43,61.223,0.729,91.184,8.909,895.944,180.007,180.355,180.678,1274.592,1353.145,1574.158,5.225,12.937,53.814,0.602,0.95,0.997,55.398,75.034,85.96
4753592085781212160,70.112,45.41122097389353,-47.45559375789312,0.392,13.893,2.226,1272.407,106.09,0.218,328.678,37.24,96.252,2.545,1229.113,101.871,0.301,96.881,41.679,539.073,70.147,70.194,70.24,1190.297,1228.574,1271.826,2.322,2.537,2.767,0.066,0.207,0.383,96.418,101.78,107.112
6205944176098390144,100.985,224.7522402451706,-30.416970327388032,0.82,10.474,7.21,1498.877,112.258,0.107,355.76,277.412,119.928,7.567,1486.456,110.483,0.161,228.804,96.164,342.774,100.526,100.701,100.867,1439.335,1541.126,1766.669,6.869,7.734,8.66,0.097,0.26,0.514,105.859,110.507,116.005
4588014739974076288,280.699,279.79496352434853,30.942378416499054,0.741,13.906,12.156,652.988,137.962,0.068,31.546,16.984,22.868,12.684,666.08,128.357,0.35,120.365,12.136,178.924,278.488,279.441,280.382,652.484,668.039,683.984,11.953,15.007,33.42,0.224,0.589,0.961,110.165,123.338,136.864
1528150536444706688,241.195,191.70048773445012,41.41746600336406,0.794,12.843,10.581,1135.865,93.232,0.117,96.509,244.006,134.153,11.726,1157.37,99.961,0.105,274.641,58.505,136.548,239.893,240.526,241.166,1127.577,1160.181,1198.364,10.547,11.851,13.23,0.046,0.163,0.347,94.305,100.189,106.104
5230287276155015296,58.714,153.44553727579083,-71.57688538497881,0.954,8.826,5.916,1191.91,30.992,0.459,304.113,149.801,122.408,5.555,1186.44,21.341,0.434,34.913,73.234,162.489,58.707,58.734,58.762,1169.553,1186.889,1204.848,5.359,5.694,6.057,0.353,0.434,0.516,19.691,27.476,34.143
4994320329796664320,120.081,7.821962232859544,-39.971272425589525,0.687,12.515,3.471,940.083,16.729,0.086,144.633,72.074,67.384,5.368,967.334,72.607,0.512,270.944,99.37,498.438,119.764,119.939,120.116,906.727,950.74,995.822,4.455,5.982,13.889,0.201,0.692,0.98,55.77,69.71,79.175
3479449011895458944,141.635,176.38538295765173,-30.89341496661833,0.663,13.666,6.355,875.769,63.426,0.105,160.921,276.998,35.789,6.835,913.273,58.855,0.127,342.123,106.366,61.69,141.237,141.494,141.735,896.708,927.634,960.137,6.322,7.617,11.502,0.086,0.326,0.919,50.774,61.908,71.236
4579360140353288064,186.37,271.0460610123426,24.5837026678774,1.079,11.13,7.899,893.345,14.49,0.734,231.042,257.876,11.122,9.478,864.805,57.907,0.472,38.387,127.684,67.76,185.986,186.341,186.702,844.671,871.173,898.674,8.535,10.568,22.47,0.19,0.558,0.959,49.56,61.671,73.221
1834262716894921472,171.507,300.16255234090687,24.430171804816222,0.607,13.954,11.864,654.691,24.259,0.077,23.742,210.619,25.79,12.554,660.913,39.284,0.126,72.298,36.557,457.201,170.797,171.111,171.438,653.877,659.851,665.925,11.809,12.675,13.57,0.036,0.111,0.213,31.836,40.2,47.227
261712702610192896,161.993,78.78002398411418,50.42834429033393,1.055,10.249,6.991,796.385,108.656,0.009,210.01,295.423,94.063,10.971,857.061,93.798,0.409,305.783,117.095,740.935,161.522,161.928,162.317,811.06,858.539,904.993,11.58,25.613,114.463,0.532,0.969,0.999,87.521,91.39,100.528
2447144413890233472,42.29,357.23755203603645,-4.6998258225841685,0.487,11.942,6.881,2500.919,115.868,0.051,334.962,25.019,355.909,7.989,2668.349,114.018,0.07,10.339,26.054,648.156,42.252,42.275,42.298,2727.145,3324.005,3844.756,8.34,11.364,15.062,0.053,0.09,0.136,105.97,109.098,113.386
1956581461324008320,134.145,331.60953991229877,40.20989291903463,0.778,11.755,4.818,1164.22,125.27,0.483,84.599,279.318,176.734,5.437,1246.493,117.841,0.672,244.523,87.45,156.887,133.727,133.908,134.085,1227.295,1333.491,1581.367,4.992,9.675,25.566,0.703,0.944,0.993,97.09,107.306,121.424
1273011027883263232,123.539,235.84620278052904,29.826093067243285,0.613,13.885,10.12,342.741,138.25,0.286,220.608,124.07,36.403,12.764,342.07,139.533,0.574,237.038,107.624,61.988,123.218,123.485,123.773,338.774,341.633,344.298,11.081,13.05,15.675,0.411,0.576,0.752,127.396,136.358,146.572
2455091649577200256,101.978,21.3890987829097,-14.930403061422577,0.282,15.853,8.744,790.091,84.978,0.148,158.652,230.859,109.635,10.366,778.238,85.085,0.38,338.259,44.227,76.408,101.207,101.631,102.057,748.482,776.293,809.032,10.496,15.118,50.928,0.356,0.916,0.998,76.235,85.054,90.643
1060182101146458496,177.024,165.7423837932144,67.3923221996433,1.32,9.389,5.988,1538.947,116.078,0.24,235.268,11.923,239.329,10.477,1446.831,138.428,0.908,72.702,70.913,655.166,176.939,177.278,177.589,1407.909,1479.447,1875.585,6.617,11.045,48.182,0.227,0.823,0.996,98.957,118.484,136.699
1993669259843302912,230.388,359.9513559199108,54.851601135821525,0.565,14.953,7.072,1296.702,91.642,0.001,100.396,176.448,145.479,10.841,1247.797,90.843,0.645,232.668,178.238,640.894,229.279,230.155,231.026,1220.613,1279.833,1341.704,10.025,19.233,99.856,0.669,0.973,0.999,83.823,90.227,97.531
5720054182306604032,102.083,123.96701439846215,-17.469802460592604,0.293,15.724,11.117,1118.363,42.431,0.289,95.815,208.234,23.326,10.566,1114.304,46.012,0.101,232.946,31.768,1019.545,101.659,101.961,102.274,1094.373,1116.047,1138.176,9.868,10.664,11.497,0.039,0.12,0.234,39.886,47.117,53.478
6081071334868194176,98.988,194.86679054876237,-51.97668689813335,0.66,12.892,3.753,980.409,72.249,0.091,342.125,179.679,141.785,3.956,961.177,70.49,0.212,44.695,176.35,309.096,98.846,98.967,99.094,927.086,967.067,1014.726,3.545,4.271,5.759,0.108,0.373,0.877,61.839,71.432,78.936
413401189345618944,95.602,19.871153475205986,57.345950722542405,1.193,8.606,8.501,700.552,24.624,0.519,143.514,345.402,73.255,9.127,708.243,26.197,0.622,309.227,177.127,65.582,95.409,95.525,95.64,694.581,708.369,719.925,9.189,11.413,25.305,0.54,0.761,0.961,31.855,45.984,66.795
1344471037351183616,322.938,267.7475935331523,39.641176018599424,0.871,12.707,11.938,1234.571,141.669,0.252,163.579,53.103,169.546,12.092,1249.305,138.847,0.34,89.572,27.592,22.594,321.012,321.906,322.812,1199.071,1273.228,1414.404,11.481,14.962,36.155,0.26,0.618,0.948,105.87,124.405,138.701
4477558244225407232,118.372,276.41626475524646,7.641123259501412,0.803,11.539,8.354,1289.338,104.106,0.082,242.698,298.08,199.542,8.408,1315.848,106.755,0.288,148.211,120.76,524.69,118.339,118.518,118.693,1283.673,1312.696,1341.857,7.845,8.606,9.468,0.081,0.239,0.465,102.707,106.263,110.297
1113770339379913216,54.345,95.589157374207,72.63677268581249,0.221,15.249,11.187,1621.625,132.639,0.021,223.25,84.856,108.608,11.172,1654.883,134.194,0.046,224.93,83.805,126.686,54.365,54.423,54.483,1635.536,1652.442,1670.852,11.018,11.185,11.351,0.022,0.044,0.069,132.265,134.068,135.951
3369097214570270976,97.864,94.73659938763504,15.881688702458977,0.666,12.57,6.934,1067.425,69.074,0.29,142.471,189.933,160.703,6.89,1079.43,68.562,0.4,174.506,173.24,230.658,98.04,98.167,98.292,1054.386,1080.206,1107.189,6.594,6.978,7.384,0.297,0.397,0.496,62.353,69.066,75.343
4521812281570391680,135.829,276.3815838288991,15.679394598633033,0.841,11.312,8.994,1199.613,123.088,0.055,335.952,197.713,166.249,8.958,1221.963,116.463,0.233,171.021,9.188,264.82,135.185,135.442,135.7,1177.437,1249.122,1371.58,8.452,9.267,10.263,0.108,0.25,0.412,107.73,114.803,122.764
5240600931439429760,241.126,167.7646519731447,-64.01020549011123,0.742,13.57,8.557,471.196,105.901,0.005,255.89,157.532,5.033,12.193,481.079,117.274,0.069,320.841,162.458,79.516,240.935,241.459,242.0,471.054,484.258,503.874,11.766,15.324,54.34,0.134,0.592,0.988,97.976,110.341,123.923
2549548735013848448,149.771,10.67068182904295,1.6950302888349873,1.451,8.495,6.698,898.916,150.828,0.215,353.47,169.736,39.022,9.76,951.171,130.657,0.138,335.219,73.177,272.986,149.608,149.873,150.162,912.425,945.143,986.682,9.183,11.523,22.96,0.119,0.43,0.925,111.024,123.612,136.599
2438853031065377280,83.904,355.3493582423846,-8.630345712006076,0.846,10.438,4.855,965.439,25.665,0.259,320.84,236.804,100.314,12.41,928.55,72.255,0.839,85.222,69.788,909.882,83.491,83.613,83.734,924.513,941.537,972.529,6.412,9.629,26.07,0.313,0.717,0.973,56.975,69.212,80.977
5542245319397657472,92.178,128.08459561332987,-36.99803284210717,0.433,14.111,9.365,2093.249,31.465,0.115,125.783,266.843,40.621,8.804,1887.842,29.197,0.057,215.244,61.734,1315.786,92.111,92.194,92.282,1844.556,1942.645,2102.443,8.614,8.99,9.541,0.034,0.074,0.124,25.553,31.351,36.637
5069070902689781248,131.549,39.79682495487522,-28.298266245643664,1.492,8.295,10.539,1611.002,68.708,0.021,15.114,69.932,164.589,10.467,1464.491,53.051,0.339,109.169,69.848,534.287,131.147,131.422,131.699,1417.844,1477.437,1546.99,9.607,10.708,12.424,0.093,0.283,0.549,46.248,56.67,65.439
433547884487887744,124.911,43.0766205578084,44.01383620038958,1.101,10.331,9.584,887.669,48.282,0.273,316.519,129.071,4.756,9.383,862.123,51.614,0.308,306.032,137.18,860.038,124.879,125.076,125.277,846.411,863.317,880.135,8.556,9.48,10.512,0.132,0.283,0.453,45.75,55.688,64.423
3647643057941823872,172.714,213.23386660309384,-1.6279404714907417,0.594,14.08,10.242,1224.365,133.513,0.084,121.005,221.682,119.497,11.188,1262.896,140.524,0.208,269.548,38.412,25.215,172.126,172.656,173.197,1230.489,1267.794,1311.241,10.503,11.359,12.264,0.085,0.199,0.316,127.804,135.795,145.479
4896327180606914176,558.987,65.76591770066744,-24.355054113290244,0.964,12.912,12.237,972.564,116.869,0.411,175.938,110.112,66.263,12.635,956.473,153.765,0.74,267.442,167.217,149.348,555.26,558.368,561.474,918.766,966.152,1030.678,16.442,62.085,379.031,0.807,0.99,1.0,92.097,100.548,124.364
3483213602270173568,140.712,171.79447997321063,-28.503462797257278,0.617,13.44,3.606,847.898,104.831,0.172,181.584,59.27,87.388,11.184,920.21,95.454,0.845,283.282,61.691,378.821,140.289,140.562,140.832,812.698,862.21,912.56,5.773,13.151,56.452,0.374,0.926,0.996,90.856,95.979,108.817
2333120282087272192,40.272,0.9242756184918811,-28.396824632432214,0.86,8.084,4.423,662.865,164.729,0.107,319.765,323.413,71.311,4.684,645.214,131.883,0.198,88.193,122.587,27.053,40.187,40.221,40.254,632.787,643.334,653.75,4.361,4.863,5.463,0.066,0.194,0.371,119.483,127.952,137.909
6664735262715722368,226.165,289.9024858305156,-43.97657043385403,0.625,14.402,11.226,1398.511,29.441,0.009,61.404,333.015,84.538,12.181,1361.659,28.909,0.299,217.99,11.014,791.217,224.986,225.955,226.919,1333.427,1404.852,1601.123,11.316,12.938,15.342,0.08,0.258,0.617,29.538,40.759,51.177
1819681199838663552,57.142,298.6655893364149,15.770707336583321,0.435,13.055,1.905,1413.455,149.522,0.273,184.891,335.295,199.162,1.918,1330.078,152.602,0.146,30.551,173.665,214.812,57.078,57.118,57.158,1291.066,1340.379,1408.226,1.824,2.002,2.217,0.058,0.167,0.311,134.61,143.637,153.683
67227409395153664,171.15,59.28382459789514,26.055425716812323,1.019,10.453,9.739,1136.052,56.614,0.365,59.823,308.088,20.686,11.247,1150.424,47.675,0.595,200.401,85.617,894.553,170.269,170.81,171.375,1086.673,1151.843,1247.522,12.088,28.624,93.989,0.606,0.948,0.996,51.299,71.407,83.611
4621971365589948416,80.615,73.91497733612744,-81.59763911718404,0.706,11.955,11.854,1704.716,112.966,0.349,189.823,103.642,50.983,11.967,1703.368,111.442,0.355,187.86,103.449,42.543,80.595,80.644,80.693,1660.212,1711.583,1774.404,11.639,11.956,12.268,0.308,0.362,0.419,109.643,111.476,113.403
4984674829684427136,209.361,17.46197948258219,-41.89989652071784,0.842,12.454,6.388,973.379,68.554,0.243,79.303,39.673,25.591,7.094,970.83,72.942,0.485,126.428,35.654,131.614,209.948,210.487,211.022,943.851,982.409,1030.438,6.457,8.085,20.482,0.282,0.678,0.988,67.454,78.989,89.353
5823631751080095104,63.22,231.40549074642257,-67.22038156564689,0.363,13.957,7.594,1335.597,144.298,0.096,18.398,357.769,152.569,7.592,1339.292,145.567,0.1,24.524,1.43,160.757,63.222,63.263,63.305,1327.347,1338.946,1350.869,7.408,7.593,7.78,0.061,0.095,0.13,143.019,145.533,148.316
6702508396276658304,141.676,270.408031927356,-52.25414589687961,0.5,14.45,12.279,1242.398,27.524,0.053,193.622,91.038,41.726,12.149,1409.6,20.921,0.167,124.838,148.23,1404.908,140.929,141.317,141.705,1339.424,1418.859,1544.007,11.908,12.57,13.326,0.089,0.184,0.278,20.256,28.547,36.614
5614288482350285824,185.999,115.07765748623356,-24.92288161259325,0.459,15.399,11.114,835.614,130.06,0.071,155.894,302.939,70.717,12.347,785.145,107.086,0.319,324.411,117.979,61.44,184.951,185.697,186.452,769.357,784.561,801.723,11.545,12.747,14.424,0.122,0.326,0.576,99.267,106.818,115.005
6372245309797656192,232.739,322.9049195625278,-71.07386811105503,1.094,10.509,11.606,648.606,30.96,0.028,293.274,187.787,45.921,11.615,663.359,35.784,0.29,272.897,169.267,650.552,231.33,232.087,232.866,646.977,671.99,693.609,11.607,15.417,45.327,0.172,0.623,0.974,39.016,54.935,73.601
3233208641211677056,123.663,74.46749700641712,3.534017449780756,0.512,14.049,11.293,406.202,45.683,0.001,93.199,324.086,60.513,9.789,405.824,65.737,0.106,23.641,168.64,206.368,122.897,123.247,123.734,395.529,403.578,411.937,9.345,10.931,14.262,0.085,0.274,0.669,49.364,65.72,78.607
1506243660612889728,136.497,211.58266729789702,46.27341143303772,0.79,11.94,6.804,1058.231,104.973,0.478,247.463,181.585,69.804,7.888,1053.603,97.6,0.777,243.488,174.817,66.143,136.122,136.31,136.512,1009.314,1043.796,1076.978,6.193,11.107,39.316,0.569,0.915,0.995,90.449,94.92,103.932
404843209302850304,259.042,16.70041445132254,52.01430384853362,0.729,13.834,11.71,892.217,150.466,0.028,212.565,155.319,121.487,11.803,910.981,124.474,0.247,243.366,164.892,184.061,259.161,260.029,260.861,888.192,912.069,937.171,11.204,13.519,21.268,0.141,0.453,0.893,112.001,121.625,132.75
