Binary source ID,True distance [pc],True RA [deg],True Dec [deg],Primary stellar mass [M_\odot],Secondary stellar mass [M_\odot],Apparent stellar mass [M_\odot],Primary G-band mag,Secondary G-band mag,Apparent G-band mag,True period [days],True inclination [deg],True eccentricity,True omega [deg],True Omega [deg],True T_peri [days],Best-fit planet mass [M_J],Best-fit period [days],Best-fit inclination [deg],Best-fit eccentricity,Best-fit omega [deg],Best-fit Omega [deg],Best-fit T_peri [days],MCMC distance 16th [pc],MCMC distance 50th [pc],MCMC distance 84th [pc],MCMC period 16th [days],MCMC period 50th [days],MCMC period 84th [days],MCMC planet mass 16th [M_J],MCMC planet mass 50th [M_J],MCMC planet mass 84th [M_J],MCMC eccentricity 16th,MCMC eccentricity 50th,MCMC eccentricity 84th,MCMC inclination 16th [deg],MCMC inclination 50th [deg],MCMC inclination 84th [deg],\Delta \chi^2
12,44.94685,287.2868289579586,-31.72420911625982,0.37479,0.36847,0.44373,13.61977,13.69962,12.90639,290.74029,144.02837,0.0684,13.13044,260.30756,7.78604,7.96243,291.91525,144.06395,0.13107,228.10478,73.5314,41.03203,44.91191,44.93658,44.95961,290.8472,291.89003,292.9546,7.53134,8.0453,8.56404,0.05298,0.12327,0.20031,137.02529,142.45266,149.21524,549.28835
13,77.58558,127.67316310186708,-42.22780897058798,0.18826,0.18273,0.27696,15.76927,15.86038,15.0613,346.00611,172.79179,0.5018,268.01324,175.80615,41.49856,5.12629,346.44204,117.6907,0.58743,56.07343,94.16372,258.51405,77.34192,77.48493,77.64446,342.52181,346.75721,351.20646,4.49342,6.01601,14.32939,0.26137,0.68934,0.97323,97.83713,108.87577,121.32196,56.53295
14,73.65322,257.4440494237109,-36.555437240434,0.29143,0.28352,0.39283,15.25014,15.32555,14.53462,1556.78717,103.91906,0.45896,157.70222,191.33489,87.78357,6.57058,1426.76689,99.76679,0.71998,344.77842,19.15583,116.11324,73.59212,73.7103,73.83074,1359.66425,1451.0631,1593.08723,7.03992,13.32598,64.42663,0.81662,0.98953,0.99963,92.12242,98.37341,108.0689,215.64067
15,272.80597,179.93268595976116,-53.581868518117034,0.67432,0.6696,0.80322,14.02897,14.08178,13.30248,1610.36974,173.81536,0.55603,157.46347,261.51164,176.25298,12.27595,1475.80576,147.03995,0.59464,63.11943,166.87405,106.17517,271.61903,272.33486,273.07502,1450.85928,1622.72446,2008.18938,12.51892,21.43137,64.12368,0.61064,0.9037,0.98934,101.50606,120.95518,141.13202,242.23314
16,30.35447,164.02898791248154,-17.89230675151289,0.20152,0.19575,0.29867,13.31636,13.40204,12.60578,906.1137,144.50308,0.30954,101.85514,3.28773,17.95357,4.77383,911.06419,140.03977,0.20788,260.58473,173.45212,897.27187,30.36086,30.37231,30.38354,907.93257,911.51751,915.15001,4.64859,4.76771,4.88818,0.17329,0.20612,0.23911,137.33843,139.90438,142.63339,3222.48717
17,168.27418,7.920373360672348,46.18532476792257,0.42952,0.42387,0.58211,15.43658,15.48245,14.7067,1330.55484,44.02862,0.51417,276.93549,313.79163,79.20582,6.90492,1124.20683,81.13919,0.34264,333.40557,133.00496,797.82475,167.97542,168.45438,168.98324,1067.50818,1131.8108,1209.5822,6.44168,9.49873,43.54787,0.19874,0.79877,0.99711,71.42317,83.39005,90.5647,63.03061
18,187.09105,30.899172181935267,-56.10126504441581,0.48271,0.47678,0.64634,14.80784,14.8659,14.08391,691.73611,82.22239,0.28052,341.48811,166.42108,41.0998,9.15749,685.07522,73.28437,0.28717,63.174,156.48312,178.39727,186.73947,187.11325,187.50269,668.31231,688.11347,709.66173,8.12345,9.66788,12.66109,0.1006,0.35355,0.76986,65.21004,74.97088,83.2182,67.29323
19,159.44327,250.94384075411173,42.96698919581246,0.44227,0.43423,0.57992,15.04553,15.11399,14.32664,1130.61954,154.05112,0.70642,280.69148,229.24391,177.42281,9.74811,1123.1592,123.10869,0.83464,74.2233,29.63123,156.8585,159.22523,159.53837,159.85898,1098.39618,1132.74352,1174.078,7.6471,16.61001,67.36797,0.72065,0.95323,0.99711,95.63394,109.98748,128.57315,87.83617
20,86.36428,28.803037477226475,-59.365047183429006,0.31427,0.29964,0.4486,14.63301,14.74042,13.93281,524.69932,79.73776,0.24098,127.94499,53.45179,4.40981,5.7186,524.02643,77.02668,0.15789,57.3324,46.43138,424.98363,86.2408,86.30872,86.37629,518.07065,524.50361,531.10374,5.32115,5.80055,6.32182,0.05466,0.17188,0.33821,71.4774,77.22488,82.7176,172.84053
21,142.27354,84.30757809387505,-58.93493121882739,0.44885,0.4378,0.58766,14.75258,14.84669,14.04604,521.73002,90.50394,0.4311,52.22108,50.04531,78.07571,10.52639,525.16917,97.40305,0.3317,332.03471,59.15659,496.32971,142.2105,142.40655,142.61184,515.3633,525.52692,534.33447,9.81997,12.07525,24.21558,0.19537,0.53695,0.96037,89.94391,96.29793,103.96671,82.07718
22,57.30382,54.375166900747246,-18.603438724899974,0.20947,0.20235,0.30649,15.04954,15.1317,14.33727,1089.06299,140.80332,0.20061,327.76984,85.78073,135.35517,3.40172,1098.9678,144.69465,0.16026,357.82662,93.52286,218.52113,57.25768,57.30996,57.35899,1079.66148,1097.78441,1116.67227,3.19756,3.44793,3.70887,0.06267,0.14915,0.24863,135.39219,142.45526,151.19222,378.73164
23,62.21255,206.14436395026033,-22.859614995542657,0.18926,0.18353,0.28096,15.36457,15.45552,14.65652,1383.19597,50.65324,0.5233,314.3726,57.32642,122.46455,4.21453,1282.32644,42.12488,0.57824,325.36135,58.47626,150.71017,61.9906,62.06941,62.14965,1248.36212,1283.83698,1322.11285,3.95098,4.48932,6.31818,0.47386,0.64038,0.86269,36.87184,46.72645,56.62918,318.50972
24,95.88881,356.2637394760797,54.346004247078106,0.39978,0.39126,0.45098,15.16054,15.26659,14.4597,120.95658,100.69218,0.39676,16.04491,242.00675,6.47837,11.22965,121.70361,119.10934,0.52931,195.01567,57.14662,3.38912,95.84461,95.96042,96.07718,121.15849,121.68004,122.16491,11.1798,18.22103,74.63916,0.45347,0.91229,0.99616,95.70995,107.74242,124.26704,63.24571
25,56.62622,296.4460759737933,46.31448347108133,0.23197,0.22247,0.34108,14.38152,14.48168,13.67787,376.7631,65.47506,0.61366,51.93673,198.66388,22.04426,4.92734,378.14879,52.34094,0.66361,80.79316,155.28407,11.16593,56.67455,56.74346,56.81079,374.51792,377.25923,379.54268,3.94886,5.08662,9.54801,0.35209,0.65896,0.92084,52.0771,60.71533,70.20651,148.67997
26,92.16559,335.69925472170974,25.4736676403513,0.22745,0.21703,0.33437,16.16491,16.28155,15.46909,818.33825,52.80997,0.81465,4.86161,31.91867,125.70572,7.24406,893.70144,77.77766,0.57841,17.84201,44.41464,164.52666,91.66218,91.90376,92.15491,865.22388,898.67284,927.23436,7.25248,12.16474,58.44288,0.46953,0.94691,0.99829,70.77479,81.19609,87.69594,112.09716
27,46.12439,103.68699728302222,28.21118014284825,0.12571,0.11608,0.14295,16.85836,17.15369,16.24344,172.34962,104.39894,0.52342,68.70443,184.72948,0.03133,6.45402,172.69637,100.32149,0.02885,216.48316,22.27433,162.79111,46.17203,46.26314,46.35958,170.99751,172.4482,174.15975,6.02159,7.40252,13.97769,0.0891,0.34109,0.90837,86.29319,99.24782,113.23656,81.02328
28,68.50116,252.99740501225077,-16.446245256662465,0.25962,0.24959,0.38721,14.7419,14.83574,14.03523,404.58679,91.51798,0.43488,105.70729,49.71486,6.61465,9.57289,409.18202,91.67652,0.84268,101.16861,45.85831,9.98201,68.28578,68.40442,68.53902,402.00095,407.94494,412.96688,5.94904,10.56862,30.15375,0.39469,0.9169,0.99445,83.58329,90.39724,95.82278,70.83557
29,122.22037,144.78153392328443,-46.85168382127675,0.17166,0.16486,0.25318,16.89745,17.01463,16.20189,1145.16442,173.66404,0.15517,249.16493,84.66873,64.54743,4.2725,1218.11005,142.9826,0.33143,193.88343,165.87383,827.70218,122.05288,122.45649,122.88145,1173.21146,1244.97473,1433.09774,4.06614,5.02747,7.56326,0.1166,0.40277,0.83486,108.75913,126.31896,141.49308,55.05002
30,90.9416,50.09884639324538,19.737767284311555,0.37274,0.36376,0.509,14.52227,14.59394,13.80494,806.87617,49.45192,0.25323,107.61073,147.02602,69.29151,6.4506,808.82655,52.0818,0.29804,117.8958,160.23354,126.65386,90.86435,90.98146,91.09304,798.63085,809.85645,821.25118,5.92847,6.44823,7.04745,0.11572,0.25498,0.40169,44.05805,52.4517,60.03493,258.85221
31,112.32469,75.24304022487205,-18.821341970157313,0.28624,0.27473,0.40951,16.00769,16.12227,15.31089,455.76626,128.8625,0.25602,46.59169,48.56265,4.53916,10.61857,449.03576,122.76432,0.51018,150.77334,76.93208,96.57735,111.38086,111.70567,111.99429,440.33362,449.24359,459.57481,9.60494,17.13136,55.90197,0.3939,0.89136,0.99157,100.28183,113.22326,127.89601,64.42846
32,68.7565,36.876846207488924,-23.604766632593737,0.41637,0.40853,0.52969,13.84965,13.91547,13.12949,2496.31484,78.16717,0.65125,324.65495,236.52959,328.52708,6.53178,1904.36278,75.72787,0.50609,165.19375,54.58152,370.35554,68.64493,68.69991,68.75614,1865.6856,2085.74613,2608.91481,6.40405,6.81901,7.36002,0.47365,0.53101,0.59236,74.5721,76.94015,79.10779,953.39707
33,25.31785,140.06269841923276,51.732539535190504,0.27068,0.26525,0.38963,12.69038,12.7441,11.96433,690.98923,40.88424,0.92285,219.93921,193.78505,29.21929,3.75327,690.45854,63.61342,0.65115,12.32604,45.58317,30.50501,25.30492,25.31252,25.32009,687.70911,690.4899,693.23177,3.63174,3.77473,3.93168,0.58838,0.65396,0.72741,59.85998,63.56529,66.54969,1294.4699
34,106.9794,100.67475448812628,-44.4444046994202,0.30196,0.29256,0.372,16.24491,16.33874,15.53824,1761.07548,113.64514,0.23015,230.34065,214.76071,143.7537,7.92798,1506.93771,108.339,0.36506,229.7034,36.53515,832.63147,106.74349,106.96183,107.18059,1488.71867,1553.16441,1690.64713,6.8771,7.69289,8.72837,0.12684,0.31101,0.51251,102.91449,108.41424,114.61473,213.28971
35,147.10061,309.4942914876604,32.619091511699686,0.24404,0.22993,0.34959,16.27985,16.41973,15.59496,1204.9558,18.59701,0.62906,59.82119,127.07492,55.09991,7.51202,1219.844,33.42856,0.65042,98.38427,80.84824,73.34294,146.58205,147.05134,147.54154,1178.32197,1279.40156,1557.00754,7.30164,12.67572,39.70735,0.60239,0.88805,0.98879,42.06323,62.2583,80.44743,99.22085
36,24.87147,292.498838218056,-31.831586623661778,0.18607,0.17606,0.26827,13.59212,13.74595,12.91373,1623.98651,145.73289,0.44584,99.33664,289.24982,249.83157,8.06516,1581.4191,155.95607,0.19668,263.05786,93.96618,242.23275,24.85865,24.86753,24.87636,1569.3606,1581.82841,1595.33042,7.98598,8.0667,8.14823,0.18325,0.19688,0.2115,154.25487,155.86786,157.64258,37319.96571
37,68.34807,49.44901852873317,-7.608367325643385,0.22389,0.21559,0.31688,15.65942,15.75636,14.95423,534.91302,133.46541,0.47701,130.44007,160.35959,69.06935,5.06226,531.4651,149.11973,0.56128,113.32458,170.39012,41.42142,68.19418,68.2953,68.38956,526.13602,533.26927,542.42341,4.72262,5.55562,8.92238,0.30808,0.58122,0.88293,121.02899,136.17799,148.93029,136.58565
38,127.90987,144.7786364254584,40.87109848571442,0.41921,0.40814,0.56441,14.77412,14.86609,14.06655,1002.183,128.76898,0.49289,65.23366,48.78571,80.40715,10.42765,996.19264,125.87519,0.51375,95.88735,44.95721,163.04177,127.671,127.92636,128.1867,978.94494,999.25525,1020.86233,9.36561,10.4744,12.19338,0.36208,0.50811,0.67325,117.99236,124.49897,131.61577,210.91061
39,121.56071,23.630589342397734,-31.901495775009902,0.54368,0.53211,0.62162,14.26448,14.36051,13.55886,316.44371,107.19475,0.85962,115.12145,171.91145,4.22005,11.59992,315.96085,113.39025,0.86356,123.44264,154.96785,19.34459,121.08326,121.27133,121.46929,309.53047,314.942,319.52446,10.35265,27.95437,122.67854,0.78976,0.9813,0.99889,91.93608,98.74503,113.60883,59.26744
40,91.52972,293.9258165065367,-2.613951965203799,0.36425,0.35778,0.48793,14.82825,14.89218,14.10717,674.4043,85.7618,0.20804,48.2152,337.19136,38.57264,7.26666,649.3781,100.99861,0.09074,118.70632,143.58779,511.99789,91.52858,91.6854,91.84435,638.18391,650.05635,662.04066,6.82227,7.57432,8.55994,0.05544,0.19688,0.47047,94.32966,101.46861,108.77306,141.13118
41,176.56604,260.039774814321,-41.06602087249321,0.69105,0.68617,0.87182,12.43255,12.48972,11.70819,1158.24738,48.83842,0.91809,270.25955,77.29631,177.06047,10.4787,1177.65973,53.32527,0.71996,232.87462,138.71666,236.18293,176.32418,176.72611,177.12455,1142.44337,1196.40116,1257.11594,10.38649,22.55726,76.16373,0.67978,0.95514,0.9961,52.02978,70.09215,83.32085,140.27091
42,65.73586,23.624182803462176,-9.643967772452058,0.12555,0.11221,0.17166,16.63761,17.0355,16.06585,509.54323,44.01531,0.53454,221.75205,263.37238,7.30109,11.57399,509.56473,40.24157,0.48724,40.34266,85.84444,8.4424,65.49618,65.65574,65.81213,507.01255,510.48647,513.96086,11.01143,11.99354,13.24685,0.39612,0.51251,0.63241,35.27495,42.65733,48.99229,414.57241
43,58.15682,60.72777088743102,-55.17251847969188,0.26965,0.25868,0.36966,14.9813,15.09213,14.28272,1264.01295,113.41972,0.07102,12.83017,186.29094,24.02336,6.65788,1275.24024,109.88159,0.10204,172.45641,6.05386,1217.28604,58.08356,58.11948,58.15651,1263.70679,1276.74086,1290.34058,6.40573,6.63775,6.8801,0.03992,0.09574,0.15934,107.8213,109.83393,111.94885,1166.3074
44,67.21502,354.16064446772555,-62.36414923943785,0.1774,0.16067,0.25517,15.7185,15.98531,15.09116,227.9206,49.405,0.17831,339.74953,262.74057,19.76521,9.85371,228.21724,33.54674,0.33679,116.67346,85.44839,219.82116,67.20333,67.28181,67.36281,227.06478,228.13944,229.22907,9.47879,10.25573,11.1922,0.22057,0.35093,0.49778,28.43879,38.08549,46.06465,309.68575
45,90.82868,329.21161192542,18.679597826785276,0.84631,0.84163,0.88599,10.85808,10.89487,10.12375,1651.51712,53.05099,0.84504,21.65406,290.55808,60.72539,7.59816,1585.28005,67.26565,0.39595,158.94871,123.78554,1531.69483,90.8963,90.99595,91.09769,1546.57551,1670.71465,1939.111,7.0728,7.78458,9.01635,0.34125,0.51507,0.78042,62.43679,67.13377,71.54349,434.80512
46,84.73511,212.9749685543514,-2.133187695365157,0.32176,0.30752,0.44072,14.59478,14.69877,13.89295,1389.61495,54.15116,0.17435,28.17336,136.23075,13.6983,6.81944,1369.78204,56.77179,0.12515,355.69368,140.41303,1275.27658,84.43199,84.53342,84.6349,1344.49951,1371.02936,1400.82227,6.4469,6.82966,7.22053,0.05622,0.12925,0.20942,52.29304,56.73381,60.71971,642.48127
47,112.63172,126.12138847124906,53.07033184615414,0.40124,0.38598,0.54254,14.53589,14.65899,13.84312,432.44842,86.44184,0.50827,36.79691,146.25904,30.37201,12.82147,430.96479,87.14053,0.42308,22.88049,145.2227,15.36198,112.37908,112.56473,112.75044,422.61402,428.87697,433.57549,12.25832,13.89506,17.53683,0.25407,0.47843,0.74371,81.59605,86.91023,92.21706,160.94963
48,70.44359,57.174728760139054,11.43556217697698,0.26218,0.25099,0.36993,15.40929,15.52206,14.71164,1482.68688,142.67417,0.49622,236.17792,298.71274,234.93196,7.02318,1533.8119,143.32492,0.59014,76.36153,146.17553,212.70583,70.21166,70.31071,70.41308,1494.53783,1561.27428,1659.94997,6.51073,7.22748,8.25952,0.52866,0.62277,0.71762,132.32321,140.27315,149.14192,556.95495
49,138.17297,345.17574534299973,-3.256604141612527,0.56558,0.55778,0.62135,14.5114,14.57697,13.79112,959.55094,146.9183,0.32258,92.42181,320.5576,150.30939,10.5952,975.1329,137.61611,0.34683,284.149,158.17626,134.65473,138.37784,138.71461,139.05818,951.33272,977.59598,1004.11969,10.2176,11.20506,12.59721,0.25963,0.40063,0.56815,124.79236,133.43559,143.76963,244.21084
50,70.76149,86.51653838334842,32.65497390647737,0.2599,0.25336,0.38504,14.73795,14.79645,14.01423,958.762,102.45424,0.26414,127.69009,167.08271,10.06939,3.67706,1013.60157,87.46989,0.54562,140.28391,174.92204,46.43714,70.7474,70.83042,70.91492,995.82851,1022.93054,1047.80753,3.60395,4.88857,12.13137,0.5056,0.86151,0.9928,77.64005,86.77972,94.50738,161.54677
51,457.4114,346.6486423642344,11.037048227971205,0.93522,0.91857,0.95632,13.67949,13.8013,12.98611,383.47191,119.85602,0.35639,212.41561,314.11281,53.95948,-612.9721,365.23309,105.01343,0.01009,228.44006,66.52548,213.01054,-54.52029,-54.51918,-54.51802,365.23177,365.23323,365.23403,-612.98596,-612.97466,-612.95883,0.009,0.0101,0.01107,105.0103,105.01332,105.01704,60.29045
52,123.49101,175.36613959630253,49.2526599540541,0.4575,0.44966,0.60219,14.5092,14.57803,13.79049,148.37404,42.63443,0.22222,204.2544,28.13908,3.92802,8.70172,147.75328,54.99653,0.15899,4.28354,85.24377,89.51248,123.41132,123.58315,123.74648,146.45974,147.72703,148.84192,9.72427,21.33373,85.77862,0.32554,0.93208,0.99577,53.31579,73.44905,85.48665,50.33439
53,45.74106,97.81812635166243,5.860287166925099,0.25267,0.2486,0.37565,14.32964,14.37298,13.59852,1147.2408,13.22216,0.76114,218.29292,271.06291,138.02724,3.12451,1132.12073,48.72947,0.59925,357.24523,132.25895,131.29068,45.67877,45.70989,45.74132,1109.17115,1130.33827,1152.09735,2.90379,3.14172,3.43166,0.46378,0.58838,0.70922,42.69992,49.84496,55.79004,504.08472
54,110.75576,185.58446849412866,9.75332132539643,0.57949,0.57365,0.68301,13.33065,13.38438,12.6046,845.21502,43.71549,0.34477,329.69139,11.11284,57.26356,9.45449,841.65923,54.02397,0.47039,307.16262,15.01322,13.9046,110.96735,111.13775,111.31676,818.34013,835.82525,849.40663,10.64843,23.07761,65.7597,0.69862,0.96708,0.9958,42.93285,61.28169,79.04143,189.24502
55,44.83926,68.60800941630559,71.96902965985444,0.4337,0.42794,0.5352,12.87205,12.92389,12.14508,143.53433,113.71194,0.36675,32.49622,136.38786,15.41929,7.31604,142.43654,118.85636,0.44224,94.81896,146.07215,38.8184,44.856,44.87319,44.89159,142.35694,142.99438,143.71033,5.66796,6.54051,9.15886,0.10103,0.31265,0.66174,112.49371,120.51895,129.3741,156.8755
56,191.41186,118.54862866229055,-20.235055968630505,0.42758,0.41322,0.47313,16.13902,16.2726,15.45118,668.83499,134.08683,0.37593,89.34571,36.84751,76.93008,12.77146,672.0612,130.52012,0.12138,93.0563,7.46059,136.65886,191.34301,192.22032,193.12803,652.01812,670.4296,689.02501,11.80431,14.27887,18.89651,0.08472,0.29969,0.72219,114.85952,126.21165,139.0181,65.81273
57,83.8596,158.57273087901638,26.570160357392197,0.3083,0.29468,0.43366,15.02459,15.1625,14.33878,872.21673,136.23857,0.77436,328.29209,39.51567,72.80372,11.56429,855.02307,134.157,0.80696,308.09374,29.04735,50.09594,83.68554,83.80626,83.92355,850.27681,858.61065,867.5262,10.90902,14.47334,25.50819,0.77576,0.89022,0.967,112.60927,126.15973,136.03307,585.60045
58,56.37261,52.93316866870482,-26.030227789347453,0.48156,0.47906,0.58945,12.94575,12.9667,12.2036,417.97803,112.47618,0.21695,50.93582,65.87095,56.49835,3.04242,418.81072,112.27423,0.55314,78.92402,81.97107,74.02858,56.34874,56.38358,56.41759,411.32172,418.26033,424.59784,2.34873,2.87022,6.07223,0.14009,0.47731,0.9128,99.59279,110.16046,122.64402,104.80588
59,86.95492,80.18048805341061,17.098844392177607,0.18443,0.17132,0.26665,16.40283,16.59735,15.74317,406.39603,63.97611,0.64132,144.72083,11.42404,55.74269,10.2818,407.25894,73.97409,0.76945,150.02697,28.30542,58.17933,86.26965,86.61603,86.93618,400.01609,411.05477,422.38763,12.70934,38.52834,190.29976,0.88475,0.99208,0.9995,69.33162,83.67292,89.27283,74.7048
60,113.88023,85.06915213348582,54.18337066048681,0.32448,0.30467,0.4527,15.11247,15.25145,14.42717,1355.67742,135.26385,0.65991,252.51896,97.51569,204.29174,8.71146,1268.0348,124.01105,0.62464,271.50855,99.7061,251.08306,113.88684,114.09968,114.30966,1208.91157,1259.36576,1306.08142,7.70076,9.06568,11.76449,0.50017,0.65138,0.80435,115.09252,122.10544,129.24181,295.24341
61,96.58512,64.53305196753651,-15.48422683099424,0.17555,0.1527,0.24779,16.63081,16.99135,16.0436,284.58326,130.59263,0.71596,274.44134,191.54682,12.0744,12.39773,289.15569,117.29862,0.32376,120.88888,9.79612,41.67565,96.06365,96.36473,96.66751,281.23093,288.23555,293.70964,13.64395,32.41088,107.59092,0.45699,0.93388,0.99239,93.9454,101.98612,118.07867,55.04497
62,94.23768,231.61267750376737,8.498331684115483,0.21681,0.20169,0.31338,15.94468,16.11766,15.27515,1258.24819,67.98072,0.78992,335.67427,329.97674,189.48679,7.45625,1289.27477,68.09911,0.66094,183.5484,139.96658,275.39466,94.40379,94.62255,94.8481,1205.11574,1255.84894,1309.02097,8.59115,18.00376,55.62042,0.7898,0.97129,0.9968,60.09984,72.45688,82.86567,212.03576
63,62.86305,330.6759609321612,-4.07572926983415,0.3735,0.354,0.49297,13.56282,13.70057,12.87694,121.35056,70.86853,0.2389,40.29446,16.49218,11.64524,8.70064,121.3768,55.71062,0.13283,227.21571,167.49899,5.01422,62.77644,62.85523,62.93317,120.83187,121.49895,122.09503,8.40795,9.44809,11.01975,0.06318,0.21519,0.52206,44.29025,61.62205,76.98558,109.80172
64,85.06692,187.35139508371563,-15.578525664170641,0.31638,0.31019,0.42518,15.15729,15.21739,14.43435,402.28953,124.10441,0.51631,28.84718,226.87978,56.29781,6.02413,404.31937,114.49319,0.09671,89.3205,68.73456,319.40571,85.06579,85.32823,85.59799,389.76789,400.02866,408.38998,5.35756,7.41734,19.64804,0.13326,0.50197,0.96876,96.68352,109.86626,125.71958,56.73243
